"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 01 11:13:19 WAT 2023","Fri Dec 01 11:13:22 WAT 2023","2395","Contact management","Lists","","","","Get all the contacts",""
"passed","Fri Dec 01 11:12:31 WAT 2023","Fri Dec 01 11:12:34 WAT 2023","2332","Marketing","WhatsApp Campaigns","","","","Update a WhatsApp campaign",""
"passed","Fri Dec 01 11:20:04 WAT 2023","Fri Dec 01 11:20:09 WAT 2023","5394","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Fri Dec 01 11:15:39 WAT 2023","Fri Dec 01 11:15:41 WAT 2023","2362","Accounts and settings","Domains","","","","Authenticate a domain",""
"passed","Fri Dec 01 11:11:51 WAT 2023","Fri Dec 01 11:11:53 WAT 2023","2413","Marketing","Email Campaigns","","","","Export the recipients of an email campaign",""
"passed","Fri Dec 01 11:24:15 WAT 2023","Fri Dec 01 11:24:17 WAT 2023","2339","Accounts and settings","Corporate","","","","Create a new sub-account under a master account.",""
"failed","Fri Dec 01 11:22:02 WAT 2023","Fri Dec 01 11:22:04 WAT 2023","2389","Contact management","Contacts","","","","Get email campaigns' statistics for a contact",""
"passed","Fri Dec 01 11:14:02 WAT 2023","Fri Dec 01 11:14:05 WAT 2023","2501","Accounts and settings","Webhooks","","","","Create a webhook",""
"passed","Fri Dec 01 11:25:07 WAT 2023","Fri Dec 01 11:25:09 WAT 2023","2415","Accounts and settings","User","","","","Send invitation to user",""
"passed","Fri Dec 01 11:23:12 WAT 2023","Fri Dec 01 11:23:15 WAT 2023","2327","Contact management","Attributes","","","","Delete an attribute",""
"passed","Fri Dec 01 11:24:05 WAT 2023","Fri Dec 01 11:24:08 WAT 2023","2413","Accounts and settings","Process","","","","Return all the processes for your account",""
"passed","Fri Dec 01 11:16:44 WAT 2023","Fri Dec 01 11:16:47 WAT 2023","2814","Sales CRM","Tasks","","","","Get a task",""
"passed","Fri Dec 01 11:25:02 WAT 2023","Fri Dec 01 11:25:05 WAT 2023","2441","Accounts and settings","User","","","","Revoke user permission",""
"failed","Fri Dec 01 11:11:24 WAT 2023","Fri Dec 01 11:11:27 WAT 2023","2612","Marketing","Email Campaigns","","","","Create an email campaign",""
"passed","Fri Dec 01 11:11:18 WAT 2023","Fri Dec 01 11:11:24 WAT 2023","5466","Transactional","WhatsApp Transactional","","","","Get all your WhatsApp activity (unaggregated events) Copy",""
"passed","Fri Dec 01 11:13:55 WAT 2023","Fri Dec 01 11:13:58 WAT 2023","2370","Contact management","Attributes","","","","Create contact attribute",""
"passed","Fri Dec 01 11:19:14 WAT 2023","Fri Dec 01 11:19:20 WAT 2023","5650","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Fri Dec 01 11:14:59 WAT 2023","Fri Dec 01 11:15:02 WAT 2023","2317","Accounts and settings","Corporate","","","","Create a new sub-account under a master account.",""
"passed","Fri Dec 01 11:26:10 WAT 2023","Fri Dec 01 11:26:13 WAT 2023","2324","Sales CRM","Notes","","","","Get all notes",""
"passed","Fri Dec 01 11:27:00 WAT 2023","Fri Dec 01 11:27:02 WAT 2023","2374","eCommerce","Orders","","","","Create orders in batch",""
"passed","Fri Dec 01 11:15:06 WAT 2023","Fri Dec 01 11:15:09 WAT 2023","2341","Accounts and settings","Corporate","","","","Delete a sub-account",""
"passed","Fri Dec 01 11:17:33 WAT 2023","Fri Dec 01 11:17:36 WAT 2023","2755","Conversations","Pushed messages","","","","Get an automated message",""
"failed","Fri Dec 01 11:18:58 WAT 2023","Fri Dec 01 11:19:03 WAT 2023","5341","Transactional","Statistics","","","","Get all your transactional email activity (unaggregated events)",""
"passed","Fri Dec 01 11:20:54 WAT 2023","Fri Dec 01 11:20:56 WAT 2023","2313","Marketing","Email Campaigns","","","","Update an email campaign status",""
"passed","Fri Dec 01 11:12:22 WAT 2023","Fri Dec 01 11:12:24 WAT 2023","2331","Marketing","WhatsApp Campaigns","","","","Get a WhatsApp campaign",""
"passed","Fri Dec 01 11:17:26 WAT 2023","Fri Dec 01 11:17:28 WAT 2023","2545","Conversations","Messages","","","","Delete a message sent by an agent",""
"passed","Fri Dec 01 11:21:56 WAT 2023","Fri Dec 01 11:21:59 WAT 2023","2361","Contact management","Contacts","","","","Get all the contacts",""
"passed","Fri Dec 01 11:09:11 WAT 2023","Fri Dec 01 11:09:19 WAT 2023","7497","Transactional","Templates","","","","Returns the template information",""
"passed","Fri Dec 01 11:15:14 WAT 2023","Fri Dec 01 11:15:16 WAT 2023","2470","Accounts and settings","Senders","","","","Get the list of all your senders",""
"passed","Fri Dec 01 11:27:12 WAT 2023","Fri Dec 01 11:27:14 WAT 2023","2395","eCommerce","Products","","","","Get all products",""
"passed","Fri Dec 01 11:11:43 WAT 2023","Fri Dec 01 11:11:46 WAT 2023","2338","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Fri Dec 01 11:25:09 WAT 2023","Fri Dec 01 11:25:12 WAT 2023","2437","Accounts and settings","User","","","","Update permission for a user",""
"failed","Fri Dec 01 11:13:31 WAT 2023","Fri Dec 01 11:13:33 WAT 2023","2292","Contact management","Lists","","","","Delete a list",""
"passed","Fri Dec 01 11:27:02 WAT 2023","Fri Dec 01 11:27:04 WAT 2023","2288","eCommerce","Categories","","","","Get all categories",""
"passed","Fri Dec 01 11:23:49 WAT 2023","Fri Dec 01 11:23:51 WAT 2023","2369","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child based on the child identifier supplied",""
"passed","Fri Dec 01 11:23:53 WAT 2023","Fri Dec 01 11:23:56 WAT 2023","2346","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"failed","Fri Dec 01 11:13:00 WAT 2023","Fri Dec 01 11:13:02 WAT 2023","2319","Contact management","Contacts","","","","Import contacts",""
"passed","Fri Dec 01 11:26:20 WAT 2023","Fri Dec 01 11:26:22 WAT 2023","2579","Sales CRM","Notes","","","","Delete a note",""
"failed","Fri Dec 01 11:11:32 WAT 2023","Fri Dec 01 11:11:34 WAT 2023","2318","Marketing","Email Campaigns","","","","Delete an email campaign",""
"failed","Fri Dec 01 11:16:03 WAT 2023","Fri Dec 01 11:16:05 WAT 2023","2409","Sales CRM","Companies","","","","Link and Unlink company with contact and deal",""
"failed","Fri Dec 01 11:11:48 WAT 2023","Fri Dec 01 11:11:51 WAT 2023","2392","Marketing","Email Campaigns","","","","Get a shared template url",""
"passed","Fri Dec 01 11:14:48 WAT 2023","Fri Dec 01 11:14:50 WAT 2023","2315","Accounts and settings","Reseller","Child accounts","","","Creates a reseller child",""
"passed","Fri Dec 01 11:21:11 WAT 2023","Fri Dec 01 11:21:13 WAT 2023","2312","Marketing","SMS Campaigns","","","","Returns the information for all your created SMS campaigns",""
"passed","Fri Dec 01 11:24:52 WAT 2023","Fri Dec 01 11:24:55 WAT 2023","2777","Accounts and settings","Domains","","","","Validate domain configuration",""
"passed","Fri Dec 01 11:16:56 WAT 2023","Fri Dec 01 11:16:58 WAT 2023","2359","Sales CRM","Notes","","","","Create a note",""
"passed","Fri Dec 01 11:17:10 WAT 2023","Fri Dec 01 11:17:12 WAT 2023","2319","Sales CRM","Files","","","","Download a file",""
"passed","Fri Dec 01 11:21:16 WAT 2023","Fri Dec 01 11:21:18 WAT 2023","2356","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"failed","Fri Dec 01 11:13:22 WAT 2023","Fri Dec 01 11:13:24 WAT 2023","2286","Contact management","Lists","","","","Add existing contacts to a list",""
"passed","Fri Dec 01 11:14:38 WAT 2023","Fri Dec 01 11:14:40 WAT 2023","2370","Accounts and settings","Reseller","Child accounts","","","Update info of reseller's child account status based on the identifier supplied",""
"passed","Fri Dec 01 11:27:28 WAT 2023","Fri Dec 01 11:27:30 WAT 2023","2323","Coupons","","","","","Get a coupon collection by id",""
"passed","Fri Dec 01 11:09:19 WAT 2023","Fri Dec 01 11:09:24 WAT 2023","5617","Transactional","Templates","","","","Update an email template",""
"passed","Fri Dec 01 11:20:39 WAT 2023","Fri Dec 01 11:20:42 WAT 2023","2475","Marketing","Email Campaigns","","","","Get an email campaign report",""
"passed","Fri Dec 01 11:22:11 WAT 2023","Fri Dec 01 11:22:14 WAT 2023","2546","Contact management","Contacts","","","","Get all folders",""
"passed","Fri Dec 01 11:25:45 WAT 2023","Fri Dec 01 11:25:47 WAT 2023","2372","Sales CRM","Deals","","","","Get a deal",""
"passed","Fri Dec 01 11:14:10 WAT 2023","Fri Dec 01 11:14:12 WAT 2023","2316","Accounts and settings","Webhooks","","","","Delete a webhook",""
"passed","Fri Dec 01 11:24:31 WAT 2023","Fri Dec 01 11:24:34 WAT 2023","2742","Accounts and settings","Senders","","","","Create a new sender",""
"passed","Fri Dec 01 11:25:39 WAT 2023","Fri Dec 01 11:25:42 WAT 2023","2311","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Fri Dec 01 11:14:24 WAT 2023","Fri Dec 01 11:14:26 WAT 2023","2296","Accounts and settings","Reseller","Domains","","","Create a domain for a child account",""
"passed","Fri Dec 01 11:18:47 WAT 2023","Fri Dec 01 11:18:52 WAT 2023","5495","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"passed","Fri Dec 01 11:23:03 WAT 2023","Fri Dec 01 11:23:05 WAT 2023","2481","Contact management","Folders","","","","Get lists in a folder",""
"failed","Fri Dec 01 11:20:42 WAT 2023","Fri Dec 01 11:20:44 WAT 2023","2524","Marketing","Email Campaigns","","","","Update an email campaign",""
"passed","Fri Dec 01 11:24:42 WAT 2023","Fri Dec 01 11:24:44 WAT 2023","2560","Accounts and settings","Senders","","","","Get all the dedicated IPs for a sender",""
"passed","Fri Dec 01 11:11:46 WAT 2023","Fri Dec 01 11:11:48 WAT 2023","2358","Marketing","Email Campaigns","","","","Get an A/B test email campaign results",""
"passed","Fri Dec 01 11:23:51 WAT 2023","Fri Dec 01 11:23:53 WAT 2023","2329","Accounts and settings","Reseller","Child accounts","","","Delete a single reseller child based on the child identifier supplied",""
"passed","Fri Dec 01 11:16:25 WAT 2023","Fri Dec 01 11:16:28 WAT 2023","3202","Sales CRM","Deals","","","","Get deal attributes",""
"passed","Fri Dec 01 11:10:51 WAT 2023","Fri Dec 01 11:10:57 WAT 2023","5425","Transactional","Transactional SMS","","","","Send SMS message to a mobile number",""
"passed","Fri Dec 01 11:21:09 WAT 2023","Fri Dec 01 11:21:11 WAT 2023","2421","Marketing","Email Campaigns","","","","Upload an image to your account's image gallery",""
"passed","Fri Dec 01 11:10:08 WAT 2023","Fri Dec 01 11:10:13 WAT 2023","5556","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"passed","Fri Dec 01 11:21:13 WAT 2023","Fri Dec 01 11:21:16 WAT 2023","2306","Marketing","SMS Campaigns","","","","Creates an SMS campaign",""
"passed","Fri Dec 01 11:19:47 WAT 2023","Fri Dec 01 11:19:53 WAT 2023","5609","Transactional","Inbound Email Parsing","","","","Get the list of all the events for the received emails.",""
"passed","Fri Dec 01 11:22:33 WAT 2023","Fri Dec 01 11:22:36 WAT 2023","2322","Contact management","Lists","","","","Get all the contacts",""
"failed","Fri Dec 01 11:12:45 WAT 2023","Fri Dec 01 11:12:48 WAT 2023","2576","Contact management","Contacts","","","","Create a contact",""
"passed","Fri Dec 01 11:15:19 WAT 2023","Fri Dec 01 11:15:21 WAT 2023","2461","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Fri Dec 01 11:10:02 WAT 2023","Fri Dec 01 11:10:08 WAT 2023","5289","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Fri Dec 01 11:22:29 WAT 2023","Fri Dec 01 11:22:31 WAT 2023","2360","Contact management","Lists","","","","Get all the lists",""
"passed","Fri Dec 01 11:16:30 WAT 2023","Fri Dec 01 11:16:33 WAT 2023","2333","Sales CRM","Deals","","","","Delete a deal",""
"passed","Fri Dec 01 11:21:23 WAT 2023","Fri Dec 01 11:21:25 WAT 2023","2335","Marketing","SMS Campaigns","","","","Send your SMS campaign immediately",""
"failed","Fri Dec 01 11:12:55 WAT 2023","Fri Dec 01 11:12:58 WAT 2023","2402","Contact management","Contacts","","","","Export contacts",""
"failed","Fri Dec 01 11:22:31 WAT 2023","Fri Dec 01 11:22:33 WAT 2023","2296","Contact management","Lists","","","","Get contacts in a list",""
"passed","Fri Dec 01 11:12:17 WAT 2023","Fri Dec 01 11:12:19 WAT 2023","2391","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"passed","Fri Dec 01 11:25:52 WAT 2023","Fri Dec 01 11:25:55 WAT 2023","3089","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Fri Dec 01 11:26:52 WAT 2023","Fri Dec 01 11:26:55 WAT 2023","2452","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Fri Dec 01 11:23:19 WAT 2023","Fri Dec 01 11:23:22 WAT 2023","2394","Accounts and settings","Webhooks","","","","Get a webhook details",""
"passed","Fri Dec 01 11:15:33 WAT 2023","Fri Dec 01 11:15:36 WAT 2023","2404","Accounts and settings","Domains","","","","Delete a domain",""
"passed","Fri Dec 01 11:19:09 WAT 2023","Fri Dec 01 11:19:14 WAT 2023","5445","Transactional","Blocked Contacts","","","","Unblock or resubscribe a transactional contact",""
"passed","Fri Dec 01 11:22:26 WAT 2023","Fri Dec 01 11:22:29 WAT 2023","2539","Contact management","Lists","","","","Create a list",""
"passed","Fri Dec 01 11:26:37 WAT 2023","Fri Dec 01 11:26:39 WAT 2023","2378","Conversations","Messages","","","","Get a message",""
"failed","Fri Dec 01 11:22:19 WAT 2023","Fri Dec 01 11:22:21 WAT 2023","2607","Contact management","Contacts","","","","Update a contact",""
"passed","Fri Dec 01 11:26:27 WAT 2023","Fri Dec 01 11:26:30 WAT 2023","2571","Sales CRM","Files","","","","Download a file",""
"failed","Fri Dec 01 11:18:41 WAT 2023","Fri Dec 01 11:18:47 WAT 2023","5339","Transactional","Templates","","","","Send a template to your test list",""
"passed","Fri Dec 01 11:11:36 WAT 2023","Fri Dec 01 11:11:39 WAT 2023","2304","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Fri Dec 01 11:12:41 WAT 2023","Fri Dec 01 11:12:43 WAT 2023","2314","Marketing","WhatsApp Campaigns","","","","Get your WhatsApp API account information",""
"passed","Fri Dec 01 11:26:50 WAT 2023","Fri Dec 01 11:26:52 WAT 2023","2431","Conversations","Pushed messages","","","","Get an automated message",""
"passed","Fri Dec 01 11:21:06 WAT 2023","Fri Dec 01 11:21:09 WAT 2023","2385","Marketing","Email Campaigns","","","","Return all your created email campaigns",""
"passed","Fri Dec 01 11:27:16 WAT 2023","Fri Dec 01 11:27:19 WAT 2023","2295","eCommerce","Products","","","","Create/update a product",""
"failed","Fri Dec 01 11:09:30 WAT 2023","Fri Dec 01 11:09:35 WAT 2023","5444","Transactional","Templates","","","","Send a template to your test list",""
"passed","Fri Dec 01 11:16:10 WAT 2023","Fri Dec 01 11:16:13 WAT 2023","2452","Sales CRM","Companies","","","","Create a company after deletion",""
"failed","Fri Dec 01 11:20:56 WAT 2023","Fri Dec 01 11:20:59 WAT 2023","2447","Marketing","Email Campaigns","","","","Send the report of a campaign",""
"passed","Fri Dec 01 11:23:39 WAT 2023","Fri Dec 01 11:23:41 WAT 2023","2324","Accounts and settings","Reseller","Domains","","","Create a domain for a child account",""
"passed","Fri Dec 01 11:08:54 WAT 2023","Fri Dec 01 11:09:00 WAT 2023","6216","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"passed","Fri Dec 01 11:16:53 WAT 2023","Fri Dec 01 11:16:56 WAT 2023","2470","Sales CRM","Notes","","","","Get all notes",""
"passed","Fri Dec 01 11:17:20 WAT 2023","Fri Dec 01 11:17:22 WAT 2023","2443","Conversations","Messages","","","","Get a message",""
"failed","Fri Dec 01 11:15:55 WAT 2023","Fri Dec 01 11:15:58 WAT 2023","2453","Sales CRM","Companies","","","","Get all Companies",""
"failed","Fri Dec 01 11:13:05 WAT 2023","Fri Dec 01 11:13:07 WAT 2023","2582","Contact management","Contacts","","","","Update a contact",""
"passed","Fri Dec 01 11:16:22 WAT 2023","Fri Dec 01 11:16:25 WAT 2023","2294","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"passed","Fri Dec 01 11:19:20 WAT 2023","Fri Dec 01 11:19:25 WAT 2023","5361","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"passed","Fri Dec 01 11:15:11 WAT 2023","Fri Dec 01 11:15:14 WAT 2023","2439","Accounts and settings","Account data","","","","Get your account information, plan and credits details",""
"passed","Fri Dec 01 11:16:05 WAT 2023","Fri Dec 01 11:16:08 WAT 2023","2323","Sales CRM","Companies","","","","Get a company",""
"passed","Fri Dec 01 11:23:22 WAT 2023","Fri Dec 01 11:23:24 WAT 2023","2605","Accounts and settings","Webhooks","","","","Update a webhook",""
"passed","Fri Dec 01 11:24:12 WAT 2023","Fri Dec 01 11:24:15 WAT 2023","2334","Accounts and settings","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Fri Dec 01 11:20:49 WAT 2023","Fri Dec 01 11:20:52 WAT 2023","2329","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"passed","Fri Dec 01 11:26:17 WAT 2023","Fri Dec 01 11:26:20 WAT 2023","2372","Sales CRM","Notes","","","","Update a note",""
"passed","Fri Dec 01 11:17:22 WAT 2023","Fri Dec 01 11:17:26 WAT 2023","3260","Conversations","Messages","","","","Update a message sent by an agent",""
"passed","Fri Dec 01 11:24:39 WAT 2023","Fri Dec 01 11:24:41 WAT 2023","2364","Accounts and settings","Senders","","","","Delete a sender",""
"passed","Fri Dec 01 11:27:23 WAT 2023","Fri Dec 01 11:27:26 WAT 2023","2356","Coupons","","","","","Get all your coupon collections",""
"passed","Fri Dec 01 11:21:18 WAT 2023","Fri Dec 01 11:21:20 WAT 2023","2296","Marketing","SMS Campaigns","","","","Update an SMS campaign",""
"passed","Fri Dec 01 11:18:06 WAT 2023","Fri Dec 01 11:18:12 WAT 2023","6382","Transactional","Email API","","","","Delete scheduled emails by batchId or messageId",""
"passed","Fri Dec 01 11:14:43 WAT 2023","Fri Dec 01 11:14:45 WAT 2023","2353","Accounts and settings","Reseller","Child accounts","","","Get session token to access Sendinblue (SSO)",""
"passed","Fri Dec 01 11:14:26 WAT 2023","Fri Dec 01 11:14:29 WAT 2023","2301","Accounts and settings","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Fri Dec 01 11:17:17 WAT 2023","Fri Dec 01 11:17:20 WAT 2023","2415","Conversations","Messages","","","","Send a message as an agent",""
"passed","Fri Dec 01 11:19:31 WAT 2023","Fri Dec 01 11:19:36 WAT 2023","5385","Transactional","Logs","","","","Delete hardbounces",""
"passed","Fri Dec 01 11:15:21 WAT 2023","Fri Dec 01 11:15:24 WAT 2023","2449","Accounts and settings","Senders","","","","Update a sender",""
"passed","Fri Dec 01 11:17:15 WAT 2023","Fri Dec 01 11:17:17 WAT 2023","2445","Sales CRM","Files","","","","Get file details",""
"passed","Fri Dec 01 11:24:10 WAT 2023","Fri Dec 01 11:24:12 WAT 2023","2270","Accounts and settings","Corporate","","","","Get the details of requested master account",""
"passed","Fri Dec 01 11:16:13 WAT 2023","Fri Dec 01 11:16:15 WAT 2023","2374","Sales CRM","Companies","","","","Update a company",""
"passed","Fri Dec 01 11:24:27 WAT 2023","Fri Dec 01 11:24:29 WAT 2023","2418","Accounts and settings","Account data","","","","Get your account information, plan and credits details",""
"failed","Fri Dec 01 11:21:01 WAT 2023","Fri Dec 01 11:21:04 WAT 2023","2311","Marketing","Email Campaigns","","","","Get a shared template url",""
"failed","Fri Dec 01 11:20:47 WAT 2023","Fri Dec 01 11:20:49 WAT 2023","2598","Marketing","Email Campaigns","","","","Create an email campaign Copy",""
"passed","Fri Dec 01 11:20:15 WAT 2023","Fri Dec 01 11:20:20 WAT 2023","5390","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
